driver,feature,expected,rho,verdict,pd_low,pd_high,pd_range
Long-term debt / EBITDA,debt_ebitda,1,-0.6904761904761906,CONTRADICTS,0.0057687902433456425,0.005054168238247305,0.0019522032700450332
Working capital / assets,wc_ta,-1,0.5,CONTRADICTS,0.005021058956774493,0.00567932279151616,0.001084837805723094
EBITDA margin,ebitda_margin,-1,0.9500000000000001,CONTRADICTS,0.005160719747197996,0.007987503965042568,0.0030371924128200223
Total liabilities / assets,leverage,1,0.7833333333333333,agrees,0.003647334531860425,0.004873532980553195,0.0018939484410793704
Long-term debt / assets,lt_debt_ta,1,0.8095238095238096,agrees,0.004491978611074262,0.005389505909760898,0.0008975272986866357
Market value / total liabilities,mve_tl,-1,-0.9666666666666667,agrees,0.005058178845107413,0.0005281412985580253,0.004530037546549388
Quick ratio,quick_ratio,-1,-0.7833333333333333,agrees,0.005998303664324247,0.004142769172389621,0.0018555344919346257
Return on assets,roa,-1,-0.8333333333333333,agrees,0.005237609595021348,0.003355281914873943,0.001882327680147405
Net margin,net_margin,-1,-0.8333333333333333,agrees,0.005443990604764193,0.0041356251723730746,0.0013083654323911183
Days inventory,days_inventory,1,0.7619047619047621,agrees,0.004303416379270684,0.005082825953853875,0.00108457208007393
Current ratio,current_ratio,-1,0.2333333333333333,non-monotone,0.005022946011914273,0.005013428494468234,0.000648367673649901
Retained earnings / assets,re_ta,-1,0.15,non-monotone,0.0046298186399236635,0.010525833896416866,0.006210785343860702
EBIT / assets,ebit_ta,-1,-0.3,non-monotone,0.0052280606222451925,0.005201949963581552,0.0012805426457389857
Gross margin,gross_margin,-1,-0.21666666666666667,non-monotone,0.004875779035659158,0.0038339593620308984,0.0016782709425905737
Asset turnover,asset_turnover,-1,0.25,non-monotone,0.00557693765970741,0.005536394679758589,0.0010484084040596336
Altman Z-double-prime,altman_z,-1,0.03333333333333333,non-monotone,0.007822624641978861,0.005051145557927734,0.005222966907584764
Days receivable,days_receivable,1,0.35,non-monotone,0.004977033209319038,0.004786943054938828,0.0008473683272801971
