filing_year,panel_defaults,at_risk,national_ch11,panel_hazard,implied_capture
2001,7,5226,10617,0.0013394565633371603,0.1261614922612
2002,10,4897,10258,0.0020420665713702267,0.19907063476020925
2003,17,4651,8432,0.0036551279294775316,0.4334829138374682
2004,29,4417,9160,0.0065655422232284355,0.7167622514441524
2005,46,4348,5907,0.010579576816927323,1.791023669701595
2006,40,4205,4732,0.009512485136741973,2.0102462250088697
2007,51,4128,5735,0.012354651162790697,2.1542547799111937
2008,59,4009,8896,0.014716887004240458,1.654326326915519
2009,58,3857,13632,0.015037593984962405,1.1031098873945426
2010,23,3743,11750,0.006144803633449105,0.5229620113573705
2011,35,3625,9730,0.009655172413793104,0.9923096005953859
2012,25,3513,8840,0.007116424708226587,0.8050254194826456
2013,26,3485,7642,0.007460545193687231,0.9762555867164657
2014,28,3484,6078,0.008036739380022962,1.3222670911521819
2015,33,3504,6117,0.009417808219178082,1.5396122640474224
2016,33,3354,6151,0.009838998211091235,1.5995770136711485
2017,29,3191,6334,0.009088060169225948,1.43480583663182
2018,21,3014,6053,0.006967485069674851,1.1510796414463655
2019,36,2723,6045,0.013220712449504223,2.1870492058733206
