arm,seed,n_train,n_test,test_pos,base_rate,accuracy,roc_auc,gini,pr_auc,top_decile_capture
A random rows,0,62971,15711,1027,0.06536821335370123,0.9370504741900579,0.8517197874760916,0.7034395749521831,0.3581421076673794,0.4780915287244401
B obligors held out,0,62834,15848,1093,0.06896769308430085,0.9307799091367996,0.745572685674495,0.49114537134898995,0.20748070414597242,0.3220494053064959
C + out-of-time,0,55927,3201,60,0.01874414245548266,0.9737582005623243,0.6892178711662951,0.37843574233259014,0.05143434670551947,0.2833333333333333
D 12-month PD,0,51925,11388,119,0.010449596066034423,0.9894625922023182,0.9096845588887787,0.8193691177775575,0.22671580404514305,0.7478991596638656
A random rows,1,62967,15715,969,0.0616608335984728,0.9411390391345847,0.8450590298437792,0.6901180596875585,0.3348986174879281,0.47368421052631576
B obligors held out,1,62837,15845,1143,0.07213632060586936,0.9264752287787946,0.7524999723286527,0.5049999446573055,0.21108590812855493,0.31496062992125984
C + out-of-time,1,55927,3201,60,0.01874414245548266,0.9762574195563887,0.6718507906186989,0.3437015812373978,0.04807807248760228,0.25
D 12-month PD,1,51925,11388,119,0.010449596066034423,0.9899894625922023,0.9043751318967556,0.8087502637935111,0.2464062172078158,0.7226890756302521
A random rows,2,62875,15807,1071,0.06775479218067945,0.9356614158284304,0.846038170968713,0.6920763419374261,0.36164515717610446,0.4789915966386555
B obligors held out,2,62997,15685,1079,0.06879183933694613,0.9310168951227287,0.7126294283824859,0.42525885676497177,0.21362191797596802,0.3336422613531047
C + out-of-time,2,55927,3201,60,0.01874414245548266,0.9759450171821306,0.6798418762602143,0.3596837525204286,0.07557434634302489,0.25
D 12-month PD,2,51925,11388,119,0.010449596066034423,0.9899016508605549,0.9071051617026258,0.8142103234052516,0.23593245674835533,0.7142857142857143
A random rows,3,62830,15852,1001,0.06314660610648498,0.9398814029775423,0.8549408977662968,0.7098817955325936,0.3562553977589591,0.4905094905094905
B obligors held out,3,63312,15370,1085,0.07059206245933637,0.9294729993493819,0.7531435926635042,0.5062871853270083,0.2270716086309873,0.33548387096774196
C + out-of-time,3,55927,3201,60,0.01874414245548266,0.9756326148078726,0.669011991934628,0.33802398386925603,0.06573654987652268,0.2833333333333333
D 12-month PD,3,51925,11388,119,0.010449596066034423,0.9897260273972602,0.9072572857344198,0.8145145714688395,0.22256102544338827,0.7058823529411765
A random rows,4,62697,15985,1048,0.06556146387238036,0.938254613700344,0.8436986232762845,0.6873972465525691,0.36847103386368657,0.4761450381679389
B obligors held out,4,62943,15739,1043,0.06626850498761039,0.9343668593938623,0.7486889943637522,0.4973779887275045,0.22102789163810466,0.34707574304889743
C + out-of-time,4,55927,3201,60,0.01874414245548266,0.9746954076850984,0.681348827337366,0.36269765467473203,0.048784410082619786,0.2833333333333333
D 12-month PD,4,51925,11388,119,0.010449596066034423,0.9894625922023182,0.9040350899433337,0.8080701798866674,0.22290586369904603,0.7142857142857143
