grade,obligor_years,defaults,mean_pd,observed,ci_lo,ci_hi,share_of_book,pd_in_ci
AAA,8,0,4.319383076469813e-05,0.0,0.0,0.3244156195108769,0.00035157108327840036,True
AA+,9,0,0.00012166906612037288,0.0,0.0,0.2991527535509594,0.0003955174686882004,True
AA,37,0,0.00019682592010928214,0.0,0.0,0.09406095745514377,0.0016260162601626016,True
AA-,130,0,0.00031366688384001126,0.0,0.0,0.02870258574314712,0.005713030103274006,True
A+,758,0,0.0004533100000631614,0.0,4.336808689942018e-19,0.005042518024744251,0.03331136014062843,True
A,2125,1,0.0006748080659123347,0.00047058823529411766,8.30730723270336e-05,0.0026609544776795054,0.09338606899582509,True
A-,3611,0,0.0009951851325007842,0.0,0.0,0.0010627298302642086,0.15869039771478796,True
BBB+,3856,6,0.00147063015028323,0.0015560165975103733,0.0007133156464086356,0.0033908942258306807,0.16945726214018897,True
BBB,2979,2,0.002192325545714562,0.000671366230278617,0.00018412829268346295,0.002444774294701667,0.13091628213579434,True
BBB-,2359,7,0.003316382494517016,0.002967359050445104,0.0014381159154936768,0.006112792279114036,0.1036695231817183,True
BB+,1674,7,0.005050501787418462,0.004181600955794504,0.0020270072402766006,0.008606654483213863,0.07356624917600528,True
BB,1262,9,0.0076192048556392965,0.0071315372424722665,0.003756380431421549,0.01349822709609216,0.05546033838716766,True
BB-,985,5,0.011374271847675343,0.005076142131979695,0.002170083232953263,0.011827709740157902,0.04328718962865304,True
B+,784,11,0.017266833083707925,0.01403061224489796,0.007852148625363512,0.024948353404486145,0.03445396616128323,True
B,738,18,0.026026097343142932,0.024390243902439025,0.015482620967297323,0.03822372281283041,0.032432432432432434,True
B-,562,19,0.039418603759632555,0.033807829181494664,0.021748397781778617,0.05219738492490114,0.024697868600307624,True
CCC+,423,32,0.05833821924325661,0.07565011820330969,0.05409342044188085,0.10484516473819533,0.01858932102834542,True
CCC,266,31,0.08582662056715724,0.11654135338345864,0.08332767699446884,0.16067324799263472,0.011689738519006811,True
CCC-,100,14,0.13060760019939022,0.14,0.08526265754464905,0.22137360383807236,0.004394638540980004,True
CC,47,15,0.19674932051035374,0.3191489361702128,0.2039520381739899,0.4616761088552146,0.002065480114260602,False
C,42,29,0.41426066667756606,0.6904761904761905,0.5397372223365942,0.8092907348027727,0.0018457481872116018,False
