fyear,seed,multiplier,n_in_band,raw_ratio
2012,0,1.2623967025179952,162,1.2623967025179952
2012,1,1.1922726897291138,145,1.1922726897291138
2012,2,1.3877590495969803,137,1.3877590495969803
2012,3,1.1960542542828174,156,1.1960542542828174
2012,4,1.206248000276391,154,1.206248000276391
2013,0,1.410419512004978,159,1.410419512004978
2013,1,1.617173842007644,134,1.617173842007644
2013,2,1.3324715713455462,139,1.3324715713455462
2013,3,1.3163095436694079,124,1.3163095436694079
2013,4,1.37844182957844,148,1.37844182957844
2014,0,1.8806883514736183,100,1.8806883514736183
2014,1,1.7720663336453857,96,1.7720663336453857
2014,2,1.7886961780692971,104,1.7886961780692971
2014,3,1.6460176638855362,84,1.6460176638855362
2014,4,1.5217389158419727,93,1.5217389158419727
2015,0,1.0581241818768945,120,1.0581241818768945
2015,1,1.0,106,0.9841384996543098
2015,2,1.599130158033789,109,1.599130158033789
2015,3,1.153669769197305,94,1.153669769197305
2015,4,1.0476089722997919,110,1.0476089722997919
2016,0,1.0,168,0.97942312835887
2016,1,1.1938543064227245,175,1.1938543064227245
2016,2,1.0275177329274532,166,1.0275177329274532
2016,3,1.027780464277103,191,1.027780464277103
2016,4,1.051242168177258,169,1.051242168177258
2017,0,1.22828233360253,117,1.22828233360253
2017,1,1.0,135,0.9466377428091791
2017,2,1.128884513201488,108,1.128884513201488
2017,3,1.1659681526240255,128,1.1659681526240255
2017,4,1.1949792849707637,130,1.1949792849707637
2018,0,1.0,120,0.8814346396936015
2018,1,1.0,111,0.922926493298354
2018,2,1.0,104,0.9300205045594733
2018,3,1.0,119,0.9658031916279776
2018,4,1.0,109,0.9658904302203526
