features,seed,start,gini,capture,pr_auc,min_gini,folds,defaults
core,0,1999,0.8144257150813876,0.7175450438997238,0.26242599210293155,0.7309428777072564,7,206
core,1,1999,0.8113089046407076,0.7200474675844134,0.25366959691634827,0.7365918558747193,7,206
core,2,1999,0.8266717057520419,0.7196683994713552,0.24822543331883087,0.7728412833431482,7,206
core,3,1999,0.8211255197623749,0.7338407350722622,0.2569309601697392,0.7345198368557655,7,206
core,4,1999,0.8210356419807099,0.7368600201112517,0.2652609296875946,0.7521429038801282,7,206
core,0,2003,0.8401999404532396,0.7676387651757111,0.2621770115996462,0.7808240092477481,7,206
core,1,2003,0.8323022843383094,0.7676387651757111,0.24068419203561023,0.7567231564483412,7,206
core,2,2003,0.8364806669474797,0.7744414862641464,0.2415620796042341,0.7658182294052216,7,206
core,3,2003,0.8362384871784114,0.7753389194275895,0.2563857502476032,0.7595585508953304,7,206
core,4,2003,0.8307764578208277,0.7614544732771334,0.255986649556639,0.737878688739122,7,206
core,0,2006,0.8316644684975267,0.7776248108760424,0.24648789086645131,0.7304194202708894,7,206
core,1,2006,0.8254331905398237,0.7388610295014236,0.2612950789038117,0.7555671879430303,7,206
core,2,2006,0.8303860387075621,0.7570016190705846,0.2505038277246782,0.7479334336626753,7,206
core,3,2006,0.8289068618091427,0.7662597391661431,0.2699734082651838,0.7355885624550154,7,206
core,4,2006,0.8246606583929534,0.7402024631088671,0.2666368577706141,0.7436367205391612,7,206
extended,0,1999,0.8189201137768582,0.7160505066909008,0.22931221510898117,0.7339091365133372,7,206
extended,1,1999,0.8291801891862425,0.7478401456233968,0.2506974612056025,0.7441819887020436,7,206
extended,2,1999,0.8159666594052531,0.7196986100926989,0.25106284513392574,0.7183798992344435,7,206
extended,3,1999,0.8318597422952738,0.7216069371241786,0.26543818984634365,0.7340836223254597,7,206
extended,4,1999,0.8210572868957164,0.7274002680406622,0.27047886614541766,0.7365482344216887,7,206
extended,0,2003,0.832045023199176,0.7562905075220346,0.2474650502162808,0.7732338764204236,7,206
extended,1,2003,0.8289975642598746,0.7855430010602424,0.2664927924492699,0.7521429038801286,7,206
extended,2,2003,0.8311143325730175,0.7673082254363042,0.27138834461284783,0.7806277127091104,7,206
extended,3,2003,0.8340630718462426,0.7857882402217378,0.27228969387443175,0.7866474732273334,7,206
extended,4,2003,0.8287997499692062,0.7685877341049754,0.2698066475172593,0.7555671879430306,7,206
extended,0,2006,0.8175251712185301,0.7144742230949129,0.2538703174482604,0.7342362974110668,7,206
extended,1,2006,0.8265937328850225,0.7633097608467067,0.257730485165851,0.7589478505529019,7,206
extended,2,2006,0.8271440416684597,0.7472202127374541,0.28000045467577445,0.7490457807149555,7,206
extended,3,2006,0.8288986789453935,0.7636284077170776,0.25884140338234185,0.7454470108399309,7,206
extended,4,2006,0.8199684977609588,0.7481676779706337,0.26924045039947153,0.7489149163558637,7,206
